COMPLEXID,SEGMENTID,the_geom,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
366,9002437,-73.90846226832227 40.83294883557444,X,2,6498,3,2091185,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27373004,2003392,D WEBSTER HOUSES BUILDING 3
366,9002433,-73.90906804151682 40.83254097982348,,2,9278,2,2091187,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,5,DoITT,,2105422,LOUIS A FICKLING CHILD DEVELOPMENT CENTER
370,78727,-73.88949302962041 40.82623788484198,X,1,6454,3,2006156,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27645503,2011960,W FARMS SQUARE REHABS BLDG 2
366,9002447,-73.90786206332298 40.833357930907496,X,2,16975,3,2091184,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27373003,2003391,DANIEL WEBSTER HOUSES BLDG 2
370,78727,-73.88979572744152 40.82648984268037,X,1,14717,3,2006154,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27645504,5127311,W FARMS SQUARE REHABS BLDG 3
0,308870,-73.98482830149088 40.69402035229785,,1,14205,2,3348771,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,7,EMS,,3073880,BLUE CROSS & SHIEL
0,113829,-73.86947523586144 40.7446432911775,,1,1019544,6,4040013,4,04/04/2013 12:00:00 AM +0000,04/04/2013 12:00:00 AM +0000,9,OTHER,,44765,BANGLADESH HINDU MANDIR
0,24366,-73.98994261621877 40.71421688895563,,1,287,1,0,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,4,DPR,,0,STRAUS SQUARE
1818,163652,-73.9672038512749 40.65120995935102,,2,1144,1,0,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,4,DPR,,0,EAST PARADE GROUNDS
1818,163652,-73.96989542119665 40.65025410940092,,2,1159,1,0,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,4,DPR,,0,WEST PARADE GROUNDS
356,9005825,-73.98209131215881 40.71243699875387,N,2,17531,1,0,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,4,DPR,11210501,0,VLADECK PARK
123,9003863,-73.94530151344134 40.79494050122411,X,2,8005,3,1078931,1,05/14/2009 12:00:00 AM +0000,05/06/2013 12:00:00 AM +0000,1,DCP,11550808,1041257,CLINTON PROJECTS COMMUNITY CTR
0,285262,-73.98760127866466 40.69384715909225,,1,4746,6,3000259,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,5,FDNY,,3000613,NYCERS
145,9000388,-73.88901296406131 40.83213150842961,X,1,1017652,3,2117758,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177502,2103783,EAST 173 ST-VYSE AVENUE BLDG 1
145,9000390,-73.88870356795978 40.832648894700675,X,1,1017653,3,2117757,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177503,2103786,EAST 173 ST-VYSE AVENUE BLDG 2
145,9000392,-73.88846111464261 40.833076276554394,X,1,1017654,3,2092186,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177504,2103789,EAST 173 ST-VYSE AVENUE BLDG 3
145,9000365,-73.88841991518544 40.83393509282607,X,2,1017655,3,2010652,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177505,5127343,E 173RD STREET - VYSE AVE HOUSES BUILDING 4
145,9000374,-73.8880833448281 40.83452666480916,X,2,1017656,3,2092191,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177506,2103779,E 173RD STREET - VYSE AVE HOUSES BUILDING 5
145,9000380,-73.88785854661982 40.83485259427783,X,2,1017657,3,2092189,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177507,2103778,E 173RD STREET - VYSE AVE HOUSES BUILDING 6
145,9000358,-73.88734639519484 40.834872629920234,X,1,1017658,3,2092190,2,12/21/2012 12:00:00 AM +0000,01/16/2013 12:00:00 AM +0000,1,OTHER,21177508,2103792,E 173RD STREET - VYSE AVE HOUSES BUILDING 7
356,9005940,-73.98302025620863 40.711675815997204,X,1,13219,3,1077523,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,1,DCP,11138005,1003653,VLADECK PROJECTS BUILDING 4
0,53921,-73.81384208339179 40.60440126206349,N,1,18388,5,0,4,05/14/2009 12:00:00 AM +0000,05/17/2013 12:00:00 AM +0000,12,OTHER,46790001,0,WINHOLE HASSOCK
175,9017076,-73.95621936980743 40.81179916444042,,2,1018667,2,1084095,1,02/12/2013 12:00:00 AM +0000,02/12/2013 12:00:00 AM +0000,5,OTHER,,1050506,GRANT DAY CARE CENTER
360,9004908,-73.94815654888575 40.786066790665885,,2,1019146,6,1082344,1,02/28/2013 12:00:00 AM +0000,02/28/2013 12:00:00 AM +0000,5,OTHER,,1041639,WASHINGTON COMMUNITY CENTER
216,9004850,-73.91794426702369 40.65949216465308,X,2,1016326,3,3101952,3,10/16/2012 12:00:00 AM +0000,05/20/2013 12:00:00 AM +0000,1,OTHER,31181003,5151930,LENOX ROAD REHAB BUILDING 2
356,9007134,-73.98343355359822 40.711742786998435,X,1,8334,3,1077520,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,1,DCP,11138002,1003650,VLADECK 1 HOUSES BLDG 1
0,285298,-73.98750866863296 40.6947392338049,,2,2069,2,3347736,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,8,NYPD,,3000610,BK FAMILY COURT
0,285298,-73.98753510314775 40.69482440137965,,2,2196,2,3347736,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,8,FDNY,,5159881,BROOKLYN SUPREME COURT CRIMINAL
0,285299,-73.98800074133071 40.69365880768581,,2,2197,2,3000259,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,8,EMS,,5159882,KING COUNTY DA
0,294692,-73.99113322788303 40.713827128514986,,2,3741,4,1003571,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,2,EMS,,1004108,MESIVTHA TIFERETH JERUSALEM SCHOOL
1818,163652,-73.96852606342853 40.65077143962842,G,2,12320,1,0,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,4,DCP,37250724,0,PROSPECT PARK PARADE GROUNDS
0,285262,-73.98835465650824 40.693835701018024,,1,2599,4,3000259,3,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,7,NYPD,,9100460,RENAISSANCE PLAZA
356,9005946,-73.98268109104717 40.712066405567484,X,1,8152,3,1077525,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,1,DCP,11138007,5144344,VLADECK PROJECTS BUILDING 6
264,43941,-73.90916259400278 40.681063248612546,X,2,1016424,3,3379499,3,10/19/2012 12:00:00 AM +0000,01/18/2013 12:00:00 AM +0000,1,OTHER,36765006,0,OCEAN HILL APARTMENTS BLDG 4
